model,term,coefficient,std_error,t_stat,p_value,ci_95_lower,ci_95_upper,window_start,window_end
state_10-year,C(calendar_month)[T.4],-4.251127281913707,1.0393385466386846,-4.090223821354686,4.309571039740709e-05,-6.288193401069732,-2.2140611627576816,2016-08-01,2026-07-01
state_10-year,C(calendar_month)[T.5],-2.985222428281835,0.7454910333467067,-4.004370669463831,6.218279874868663e-05,-4.446358004438929,-1.5240868521247415,2016-08-01,2026-07-01
state_10-year,C(calendar_month)[T.6],-5.482458795825527,0.8779590493552814,-6.244549560542151,4.250231525314266e-10,-7.203226912462902,-3.7616906791881517,2016-08-01,2026-07-01
state_10-year,C(calendar_month)[T.7],-5.823108482692944,1.1215815435448322,-5.191872598303131,2.0818944972530343e-07,-8.021367913765657,-3.6248490516202305,2016-08-01,2026-07-01
state_10-year,C(calendar_month)[T.8],-3.5023100908255627,1.3748793330170992,-2.547358162072253,0.010854196729261556,-6.197024066627528,-0.8075961150235971,2016-08-01,2026-07-01
state_10-year,C(calendar_month)[T.9],-4.156293048125762,1.2912215548947628,-3.218884499232596,0.0012869030967593168,-6.687040791781305,-1.6255453044702186,2016-08-01,2026-07-01
state_10-year,C(calendar_month)[T.10],-2.28422804980699,1.0251458440103438,-2.2281981272744074,0.025867305907019376,-4.29347698296818,-0.27497911664579977,2016-08-01,2026-07-01
state_10-year,C(calendar_month)[T.11],-0.10680304049236493,0.8952868741044896,-0.11929476861725984,0.9050418279429878,-1.86153306956861,1.64792698858388,2016-08-01,2026-07-01
state_10-year,C(calendar_month)[T.12],1.4129152245208254,0.6971670863223318,2.026652221885832,0.04269799187876564,0.046492844122328014,2.7793376049193226,2016-08-01,2026-07-01
state_10-year,C(Commodity)[T.Bengal Gram(Gram)(Whole)],4.298940869982681,1.0160983649131001,4.230831402184512,2.3282914000489594e-05,2.307424670002968,6.290457069962395,2016-08-01,2026-07-01
state_10-year,C(Commodity)[T.Onion],22.547632838663063,1.294836655721481,17.413495933276277,6.517937922820057e-68,20.00979962758667,25.085466049739455,2016-08-01,2026-07-01
state_10-year,C(Commodity)[T.Potato],17.062579715443025,1.553493276978465,10.983362444045872,4.594959641054641e-28,14.017788842340128,20.107370588545923,2016-08-01,2026-07-01
